DIM_NAME,1S,1W,2S,2W,3S,3W,4S,4W
A76028,"0,0","0.0013,0.5253","0,0","0.0027,0.1482","0,0","0.0021,0.3037","0,0","0.0003,0.894"
A76131,"0,0","0.0019,0.3515","0,0","0.0002,0.9332","0,0","-0.0009,0.6571","0,0","-0.0006,0.7568"
A7632000,"0,0","-0.0021,0.295","0,0","0.0078,0.0","0,0","-0.0024,0.2318","0,0","-0.0005,0.8116"
A7637072,"0,0","0.0028,0.1707","0,0","0.0033,0.071","0,0","-0.0022,0.2715","0,0","-0.0017,0.3973"
A764410,"0,0","-0.0009,0.6639","0,0","0.0031,0.0908","0,0","0.0007,0.7153","0,0","0.0004,0.8296"
A76448,"0,0","0.0043,0.0314","0,0","-0.0012,0.503","0,0","-0.0017,0.3824","0,0","-0.0005,0.8079"
A7647010,"-0.0036,0.5614","0.0014,0.4811","-0.0021,0.7022","0.0043,0.0195","-0.0011,0.8582","0.0039,0.0491","-0.0025,0.6882","0.0016,0.4148"
A7664382,"-0.0023,0.7065","-0.0002,0.9149","-0.0074,0.1886","0.0004,0.8128","0.0049,0.4251","0.0031,0.1208","-0.0003,0.9645","0.0002,0.9162"
A7664393,"0.0088,0.1525","0.0006,0.7596","-0.0015,0.7844","-0.0049,0.0077","-0.0015,0.8083","0.0017,0.4041","-0.0042,0.4947","-0.0009,0.638"
A7664417,"-0.0019,0.7621","-0.0007,0.7273","-0.0031,0.5747","0.0083,0.0","-0.0062,0.3052","0.0015,0.4602","-0.0017,0.7775","0.0026,0.2027"
A7664939,"-0.0031,0.6162","0.0043,0.0332","0.0012,0.8301","0.0057,0.0019","-0.0037,0.5483","0.0022,0.2798","-0.0013,0.8279","0.0009,0.6577"
A7697372,"0.0096,0.1172","-0.0004,0.8409","0.005,0.3755","-0.0009,0.6149","-0.0063,0.2996","-0.0034,0.0856","-0.002,0.7499","-0.0022,0.2714"
A7726956,"0,0","-0.0002,0.9012","0,0","-0.0013,0.4937","0,0","-0.0007,0.7107","0,0","-0.0002,0.9063"
A77474,"0,0","-0.0004,0.8387","0,0","0.0012,0.5007","0,0","-0.0012,0.5387","0,0","-0.0008,0.7009"
A77736,"0.0007,0.9052","0.0063,0.0018","0.0174,0.0019","0.0012,0.529","0.0164,0.0072","0.0055,0.0056","0.0093,0.1304","0.0053,0.009"
A7782414,"0,0","0.0027,0.1819","0,0","0.0027,0.1339","0,0","0.0056,0.0048","0,0","0.0051,0.0117"
A7782505,"0.0005,0.9402","0.006,0.0028","-0.0004,0.9457","0.0091,0.0","0.0126,0.0384","0.0069,0.0006","0.0065,0.2877","0.007,0.0005"
A78842,"0,0","0.0067,0.0009","0,0","0.0032,0.0846","0,0","0.0004,0.8409","0,0","-0.0012,0.5405"
A78875,"0,0","0.0014,0.4823","0,0","-0.0011,0.5355","0,0","0.0026,0.1892","0,0","0.0016,0.4375"
A78886,"0,0","0.0014,0.4937","0,0","-0.0011,0.5376","0,0","0.0021,0.3019","0,0","0.0011,0.601"
A78922,"0,0","0.0042,0.0383","0,0","-0.0031,0.0912","0,0","-0.0032,0.1111","0,0","-0.0028,0.168"
A78933,"-0.0004,0.9509","0.0051,0.0108","-0.003,0.5949","-0.0064,0.0005","-0.0001,0.984","0.0076,0.0001","-0.0018,0.7704","0.0018,0.3783"
A79005,"0,0","-0.0004,0.8566","0,0","-0.0033,0.0711","0,0","0.0003,0.888","0,0","-0.0006,0.7578"
A79016,"-0.0056,0.362","-0.0027,0.1782","0.0002,0.9756","-0.0026,0.1493","0.0064,0.2911","0.0035,0.0766","0.004,0.5184","0.002,0.3303"
A79061,"0,0","-0.0,0.9848","0,0","0.0022,0.2205","0,0","0.0018,0.3785","0,0","0.0029,0.1443"
A79107,"-0.0018,0.7694","0.0023,0.2479","0.0021,0.7142","-0.0018,0.3282","-0.003,0.6182","0.0033,0.0935","-0.0019,0.7598","0.0039,0.0496"
A79118,"0,0","-0.0012,0.5591","0,0","-0.0013,0.4691","0,0","0.0005,0.8201","0,0","-0.0029,0.1523"
A79210,"0,0","-0.0002,0.9238","0,0","-0.0008,0.6431","0,0","0.0088,0.0","0,0","0.0151,0.0"
A79221,"0,0","-0.0008,0.6771","0,0","-0.0002,0.9194","0,0","0.0028,0.1675","0,0","0.0061,0.0025"
A79345,"0,0","0.0005,0.8032","0,0","0.0007,0.6893","0,0","0.0022,0.2781","0,0","0.0014,0.4884"
A79469,"0,0","-0.0012,0.5347","0,0","0.0015,0.3986","0,0","0.0014,0.4908","0,0","-0.0003,0.8773"
A79947,"0,0","-0.001,0.6023","0,0","-0.0029,0.1143","0,0","0.0005,0.8059","0,0","-0.0008,0.6729"
A8001352,"0,0","0.0022,0.2658","0,0","-0.0004,0.8476","0,0","-0.0026,0.199","0,0","-0.002,0.311"
A8001589,"0,0","-0.0007,0.7213","0,0","-0.0037,0.0409","0,0","-0.0006,0.7745","0,0","-0.0017,0.4118"
A80057,"0,0","0.0062,0.002","0.0122,0.0299","0.0012,0.4982","0,0","0.0049,0.014","0,0","0.0032,0.1085"
A80159,"0,0","-0.0004,0.831","0,0","-0.0028,0.1332","0,0","0.0,0.983","0,0","0.0008,0.6959"
A80626,"0,0","0.0039,0.0555","0.0143,0.0108","-0.0002,0.919","0,0","0.0035,0.0754","0,0","0.0022,0.2826"
A81889,"0,0","0.0019,0.3506","0,0","-0.0016,0.3819","0,0","-0.0019,0.3321","0,0","-0.0019,0.3477"
A82688,"0,0","-0.0007,0.7345","0,0","-0.0019,0.2888","0,0","0.0033,0.097","0,0","-0.0007,0.7341"
A84742,"0,0","0.0023,0.2597","0,0","0.0005,0.7981","0,0","0.0044,0.0273","0,0","0.0036,0.0724"
A85018,"0,0","0.0013,0.521","0.0172,0.0021","0.0004,0.8159","0,0","-0.0005,0.7889","0,0","0.0006,0.7762"
A85449,"0,0","0.0036,0.0757","0,0","0.0014,0.4314","0,0","-0.0014,0.4937","0,0","-0.0009,0.6576"
A86306,"0,0","0.0048,0.0165","0,0","-0.0014,0.4361","0,0","-0.001,0.6043","0,0","-0.0019,0.3494"
A872504,"-0.002,0.7427","-0.0021,0.2994","0.0067,0.2348","-0.0058,0.0015","-0.0055,0.3652","0.0017,0.4066","-0.0002,0.9776","0.0007,0.744"
